Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
27/09/10,27,10,4,3,1,8,0,2,2,2,16,3,0,18,7,0,0,15,4,1
04/10/10,33,5,10,5,4,4,2,1,3,8,6,6,2,46,14,1,8,10,8,24
11/10/10,74,9,31,5,8,10,1,2,1,10,42,4,3,36,29,12,14,3,12,11
18/10/10,57,23,3,18,9,5,5,4,1,3,53,19,9,36,24,9,0,12,8,35
25/10/10,95,43,30,45,22,8,4,0,3,2,45,11,1,56,63,5,16,9,15,60
01/11/10,73,16,2,12,7,8,7,3,15,20,43,18,8,58,20,3,3,23,8,29
08/11/10,171,44,25,36,32,20,5,3,36,26,65,23,22,108,67,6,3,9,20,33
15/11/10,206,28,24,30,25,3,17,5,28,12,65,23,5,75,33,6,55,51,39,75
22/11/10,144,29,14,61,35,31,12,8,10,32,79,8,13,118,26,2,13,20,25,31
29/11/10,155,18,49,86,15,37,24,4,26,10,55,27,12,85,38,26,39,30,43,22
06/12/10,191,52,49,24,25,26,6,17,20,18,98,30,16,115,15,15,12,41,91,49
13/12/10,125,45,54,46,20,44,10,26,45,13,97,23,17,114,12,28,17,20,63,35
20/12/10,157,36,24,78,53,28,24,8,15,10,94,19,11,74,20,18,34,7,45,58
27/12/10,121,41,20,28,36,13,35,20,26,10,105,42,8,93,11,42,9,7,104,71
03/01/11,59,35,35,26,25,16,30,38,25,7,68,18,29,155,4,17,1,27,68,16
10/01/11,333,38,41,149,93,72,26,52,35,22,90,63,13,240,27,14,32,115,55,86
17/01/11,145,18,15,95,66,24,29,27,25,5,152,55,19,86,13,67,7,3,38,56
24/01/11,208,51,28,34,65,65,22,86,34,6,107,39,9,93,22,52,38,50,70,41
31/01/11,174,31,23,76,61,24,20,57,28,17,67,24,11,108,15,40,8,27,60,43
07/02/11,128,28,31,47,79,42,64,76,43,8,101,34,18,145,28,62,41,44,69,21
14/02/11,190,53,17,76,63,58,41,42,46,41,136,41,5,77,16,38,43,9,88,46
21/02/11,228,46,32,102,164,72,54,67,55,22,82,61,14,189,24,102,43,30,98,35
28/02/11,149,37,46,44,93,53,69,41,24,30,135,28,4,142,26,48,47,10,42,46
07/03/11,181,43,45,55,173,10,57,63,47,38,161,51,6,140,41,125,39,34,132,35
14/03/11,131,51,24,37,95,36,61,51,59,25,112,55,6,120,43,56,11,31,153,42
21/03/11,227,58,29,43,192,22,73,48,56,82,106,74,29,312,82,184,53,17,90,43
28/03/11,158,38,19,54,144,150,96,38,58,57,89,28,2,199,37,97,36,25,75,49
04/04/11,168,37,34,42,171,133,67,60,62,63,87,52,7,143,45,66,14,14,116,41
11/04/11,181,53,48,38,109,78,114,55,83,57,79,39,10,145,57,88,13,27,74,54
18/04/11,138,41,28,37,72,14,54,60,92,30,58,37,2,106,41,40,33,2,73,22
25/04/11,129,28,45,73,75,25,51,50,49,38,47,20,3,195,31,33,8,11,74,18
02/05/11,161,49,87,33,158,54,92,51,153,47,79,52,2,149,46,167,15,11,85,65
09/05/11,121,17,71,53,101,71,58,60,119,90,62,18,9,172,21,128,22,14,102,32
16/05/11,128,55,101,31,109,95,71,52,69,60,57,47,35,152,31,100,7,2,100,40
23/05/11,150,8,71,49,132,74,42,50,138,95,42,64,3,152,23,72,21,5,104,44
30/05/11,146,62,86,33,127,39,73,34,124,120,41,42,44,141,44,54,44,6,85,45
06/06/11,115,29,64,45,118,48,56,25,108,97,46,38,27,93,23,52,39,8,72,26
13/06/11,120,38,46,47,64,52,42,19,38,82,43,23,20,68,16,48,34,9,60,19
20/06/11,140,21,46,37,89,24,53,23,92,57,57,33,4,95,16,40,12,10,50,28
27/06/11,73,23,51,7,36,95,22,21,36,37,12,21,12,61,18,19,5,3,39,37
04/07/11,91,10,42,7,31,27,35,28,21,39,11,14,3,103,23,67,26,24,37,6
11/07/11,71,3,16,5,35,17,21,23,24,21,8,14,5,65,7,11,0,0,16,15
18/07/11,61,1,10,2,27,8,15,14,20,43,9,11,4,16,14,4,5,4,33,9
25/07/11,19,11,8,0,26,1,6,4,6,24,14,6,3,21,10,5,0,1,9,15
01/08/11,16,2,5,0,8,4,4,6,15,12,1,2,2,6,4,4,1,1,13,5
08/08/11,11,0,3,1,5,28,5,4,19,21,2,2,2,11,2,3,1,1,5,2
15/08/11,17,4,0,0,4,13,0,3,6,8,5,2,5,6,4,2,0,1,3,0
22/08/11,14,1,1,2,5,23,2,3,12,6,3,3,1,7,0,9,1,5,5,1
29/08/11,13,0,1,1,10,2,0,3,1,6,0,1,0,3,1,1,0,1,6,4
05/09/11,22,1,0,1,8,1,0,4,12,2,1,2,9,4,0,0,0,0,1,1
12/09/11,42,0,2,1,2,2,0,1,2,4,2,3,1,6,2,3,4,5,3,0
19/09/11,4,3,1,2,8,3,1,3,0,5,3,3,10,6,0,6,3,5,2,6
26/09/11,18,5,1,2,8,4,7,1,4,8,1,2,2,10,2,7,0,2,2,4
03/10/11,6,5,3,0,11,32,10,13,8,9,4,14,16,11,0,2,4,9,1,0
10/10/11,10,7,4,2,15,2,9,12,4,6,2,13,10,15,1,9,2,6,5,0
17/10/11,60,9,9,7,12,16,17,18,5,19,1,19,3,29,1,19,3,7,1,5
24/10/11,103,2,11,1,10,71,16,22,24,7,1,18,25,17,9,16,2,72,2,4
31/10/11,31,10,11,3,25,8,2,24,12,42,5,19,3,12,5,3,3,4,0,7
07/11/11,103,2,11,1,10,71,16,22,24,7,1,18,25,17,9,16,2,72,2,4
14/11/11,44,12,22,0,7,88,17,68,35,15,16,22,32,33,18,26,12,4,8,0
21/11/11,91,16,42,28,41,50,17,36,41,37,0,25,16,71,17,2,5,5,10,6
28/11/11,83,16,28,5,52,24,12,44,22,47,12,27,24,64,36,19,12,21,12,12
05/12/11,111,30,63,12,44,5,12,31,19,33,21,12,35,66,31,83,2,30,15,33
12/12/11,91,40,86,19,31,15,40,50,17,29,25,20,58,100,22,41,8,30,20,12
19/12/11,163,42,41,11,86,7,20,27,32,58,28,12,43,92,85,36,4,23,82,69
26/12/11,28,52,32,1,81,27,68,27,39,37,27,19,62,53,16,16,1,28,14,46
02/01/12,106,36,140,12,77,20,36,73,41,87,39,34,45,179,85,12,4,63,63,29
09/01/12,291,41,86,11,248,20,101,64,72,66,39,27,38,118,41,13,3,50,30,23
16/01/12,185,91,41,11,36,2,21,124,20,43,19,31,45,184,27,20,2,5,61,3
23/01/12,197,48,44,16,218,157,46,75,30,41,18,8,88,114,40,21,2,55,66,36
30/01/12,147,18,61,8,58,53,63,38,32,23,26,24,30,96,47,15,6,31,32,12
06/02/12,192,29,38,16,55,37,56,69,43,43,13,39,76,144,30,11,8,36,90,216
13/02/12,190,37,121,7,113,41,92,53,25,104,13,18,30,100,53,15,2,44,73,12
20/02/12,147,20,66,4,122,29,64,68,58,66,29,42,52,170,36,23,1,39,65,22
27/02/12,131,37,69,3,59,42,104,44,46,50,12,35,65,98,45,3,0,51,45,15
05/03/12,149,43,47,1,66,17,60,68,49,27,13,34,41,98,24,16,6,59,36,24
12/03/12,99,6,16,7,46,9,68,63,19,23,22,24,15,98,25,0,0,47,46,23
19/03/12,233,38,119,6,124,74,116,69,95,87,10,22,76,86,84,31,2,39,67,28
26/03/12,146,28,49,3,74,40,83,86,60,39,22,59,22,89,46,47,1,48,57,7
02/04/12,182,21,67,3,73,81,64,46,45,55,13,18,27,77,56,7,15,27,45,8
09/04/12,68,14,50,2,8,48,41,140,50,25,14,16,22,91,17,27,10,35,24,26
16/04/12,180,27,90,15,134,39,79,76,41,76,27,23,20,107,38,67,13,43,52,21
23/04/12,142,24,31,5,88,41,79,48,41,71,10,12,21,86,28,45,4,23,23,41
30/04/12,80,2,26,2,33,3,43,68,35,17,14,13,2,32,21,7,2,14,42,2
07/05/12,194,11,77,8,81,40,104,81,65,19,58,28,37,70,84,74,19,56,48,39
14/05/12,286,16,77,14,26,34,67,79,87,32,15,29,14,131,53,41,2,26,39,12
21/05/12,129,11,49,21,26,18,119,102,53,44,45,33,22,104,60,23,25,18,23,13
28/05/12,93,2,43,8,150,9,60,82,51,12,14,7,14,131,56,36,10,18,36,10
04/06/12,199,16,127,3,128,22,64,84,105,19,48,45,20,93,40,48,12,37,34,4
11/06/12,120,7,53,3,105,17,52,65,49,52,40,12,36,140,40,15,6,58,29,20
18/06/12,151,7,34,9,161,21,72,68,52,54,38,25,8,113,32,13,8,44,33,6
25/06/12,88,11,26,3,127,7,23,64,67,22,10,5,36,38,32,56,13,5,20,10
02/07/12,87,14,53,5,34,10,61,45,37,12,13,19,9,107,26,4,11,29,24,2
09/07/12,67,7,40,2,75,6,16,34,20,9,14,9,4,113,11,32,1,38,6,8
16/07/12,52,11,39,12,28,7,18,16,8,4,36,3,13,31,7,13,2,4,8,4
23/07/12,65,2,11,9,19,3,2,6,24,7,1,2,1,24,7,9,0,27,10,1
30/07/12,6,6,7,20,8,1,5,6,11,1,4,1,3,30,3,9,0,0,2,2
06/08/12,64,2,0,6,4,0,3,2,3,2,5,3,0,8,1,3,1,11,2,1
13/08/12,18,0,6,9,14,12,3,1,0,3,6,1,2,9,5,2,1,2,1,4
20/08/12,3,0,4,0,2,0,1,5,0,0,3,0,1,7,0,1,0,0,0,0
27/08/12,0,0,0,1,3,0,0,3,1,0,4,0,0,3,0,6,0,8,0,4
03/09/12,13,4,0,6,6,0,4,2,21,1,3,1,0,12,7,1,1,2,3,0
10/09/12,9,1,8,1,11,0,0,1,0,0,1,2,2,11,0,1,2,1,2,2
17/09/12,4,3,5,0,7,1,3,6,1,8,2,0,11,8,1,1,3,4,1,0
24/09/12,8,2,0,2,5,0,0,8,1,17,0,3,1,5,1,2,2,1,2,0
01/10/12,12,12,12,0,17,0,18,4,0,1,3,5,0,18,2,0,1,0,1,1
08/10/12,13,12,0,3,13,0,5,6,10,1,2,1,0,12,1,26,8,0,3,0
15/10/12,31,11,7,10,19,16,30,21,10,8,10,1,0,23,0,4,2,1,0,1
22/10/12,35,11,8,30,18,8,12,13,11,0,1,12,37,16,2,14,11,0,13,7
29/10/12,8,3,1,21,44,0,3,13,7,4,1,6,26,44,2,9,4,2,2,1
05/11/12,73,9,9,32,13,19,38,21,7,0,28,18,68,44,14,35,7,3,30,6
12/11/12,77,12,4,34,56,31,12,30,10,20,43,10,30,72,9,22,20,11,9,2
19/11/12,21,8,3,25,55,8,16,12,8,2,15,14,26,54,16,2,8,3,14,8
26/11/12,104,14,6,59,84,1,25,39,43,24,46,12,47,65,15,10,19,10,24,40
03/12/12,105,9,8,24,20,28,14,19,31,20,15,9,21,69,54,23,26,1,6,11
10/12/12,92,18,18,54,13,47,45,55,66,2,47,12,13,107,14,12,12,3,49,16
17/12/12,192,37,18,22,122,8,19,20,58,3,13,1,13,90,17,15,20,3,21,1
24/12/12,2,11,6,25,2,24,15,22,41,0,20,8,0,9,43,3,27,4,31,18
31/12/12,67,47,7,35,77,0,15,47,120,28,25,0,22,129,66,65,32,5,44,0
07/01/13,283,34,8,61,156,57,92,93,115,17,35,21,28,156,89,45,48,19,68,5
14/01/13,135,54,28,22,50,1,22,40,113,28,74,14,58,240,33,13,31,30,55,16
21/01/13,129,22,5,20,47,47,36,56,74,9,60,3,35,190,48,7,54,9,60,19
28/01/13,203,34,20,46,84,67,29,36,107,44,48,11,33,166,31,7,50,35,53,1
04/02/13,152,194,6,23,90,55,27,40,39,25,18,19,76,138,53,3,40,28,42,73
11/02/13,107,66,33,55,63,35,24,31,113,22,35,9,20,128,36,16,13,58,81,2
18/02/13,185,29,13,32,45,12,38,42,51,32,38,2,50,239,35,29,54,27,65,37
25/02/13,110,185,47,39,84,49,18,47,89,29,48,19,38,196,61,30,29,27,65,13
04/03/13,138,51,11,27,53,9,21,31,69,36,51,1,23,108,32,20,90,16,29,23
11/03/13,100,81,39,15,66,1,29,41,62,31,59,0,32,160,86,55,71,13,54,15
18/03/13,228,68,41,65,77,27,23,55,70,28,59,18,51,131,29,7,38,48,43,17
25/03/13,130,110,12,50,107,8,10,38,180,42,90,46,23,331,96,113,119,32,49,6
01/04/13,137,38,22,8,40,57,11,49,39,19,61,11,44,155,106,32,60,21,31,11
08/04/13,235,27,21,13,109,8,23,47,114,69,55,35,28,168,44,32,102,38,62,2
15/04/13,138,27,38,14,83,10,17,42,54,38,78,13,34,137,34,96,131,24,52,17
22/04/13,166,54,31,30,55,18,33,86,34,45,56,34,61,144,25,29,73,73,67,13
29/04/13,122,54,50,43,39,1,34,54,108,37,32,17,30,119,58,47,55,15,40,1
06/05/13,149,80,34,8,139,9,30,54,79,16,64,48,54,126,33,61,99,33,3,3
13/05/13,124,115,40,4,85,70,24,45,47,9,20,28,44,239,50,71,88,46,36,18
20/05/13,187,44,46,5,52,64,40,46,48,11,37,19,49,133,13,38,59,38,24,13
27/05/13,195,67,55,8,59,10,31,48,96,8,30,39,40,140,93,51,31,17,23,9
03/06/13,130,58,12,6,37,1,20,24,57,7,28,9,27,129,73,27,50,39,26,12
10/06/13,126,47,35,28,75,12,31,21,39,10,24,28,53,97,35,75,27,21,32,5
17/06/13,154,105,5,7,42,37,8,40,59,24,50,22,35,121,40,20,15,34,46,19
24/06/13,149,106,37,12,67,78,32,27,65,15,10,8,62,66,52,96,46,21,18,17
01/07/13,106,35,22,70,15,13,17,10,9,4,38,19,32,56,26,44,12,16,25,12
08/07/13,151,30,28,14,54,19,11,30,25,26,11,12,29,42,3,74,8,5,8,18
15/07/13,100,11,22,1,81,1,6,8,61,10,10,13,25,34,10,14,32,11,15,11
22/07/13,91,36,11,8,17,2,1,30,15,14,12,21,25,30,12,24,13,10,3,5
29/07/13,46,84,8,5,7,35,3,10,4,7,3,34,7,62,10,9,2,1,3,4
05/08/13,38,10,16,3,20,0,5,1,5,5,1,5,7,9,11,0,0,0,4,3
12/08/13,13,0,0,2,3,41,0,0,10,9,2,0,0,8,4,0,0,0,3,2
19/08/13,22,0,3,0,2,16,2,1,1,2,3,0,2,4,0,6,5,0,3,4
26/08/13,33,1,9,3,6,3,0,6,0,2,4,0,1,4,2,2,7,11,7,0
02/09/13,9,1,0,0,8,11,3,3,0,0,2,0,0,2,5,2,1,2,0,1
09/09/13,14,1,1,1,13,0,0,20,8,0,2,0,1,0,0,0,1,1,0,0
16/09/13,48,0,3,1,3,1,1,1,2,4,1,4,2,4,4,0,0,0,1,0
23/09/13,7,3,5,1,3,2,11,8,2,2,8,1,1,6,3,4,0,2,2,0
30/09/13,18,2,9,8,9,1,1,18,1,2,2,0,2,9,0,11,2,2,3,1
07/10/13,6,22,0,0,4,9,12,13,12,1,31,0,0,20,17,0,1,5,5,0
14/10/13,21,15,1,1,17,9,3,8,2,11,6,1,5,18,14,15,1,3,11,2
21/10/13,30,26,10,7,31,19,25,26,20,20,46,0,4,15,11,20,5,23,6,2
28/10/13,21,9,1,11,13,28,8,10,33,35,18,6,1,12,46,30,1,0,18,5
04/11/13,79,18,8,4,16,15,14,82,19,66,39,0,5,38,38,8,4,5,27,1
11/11/13,64,5,14,11,71,22,48,40,32,49,38,2,2,25,19,7,2,22,11,6
18/11/13,55,24,8,8,37,2,13,21,32,20,26,1,4,43,15,12,0,2,20,13
25/11/13,18,14,3,19,80,10,32,53,39,18,39,1,10,52,8,46,0,20,28,2
02/12/13,101,20,14,10,44,20,7,39,26,64,22,3,14,35,63,14,4,15,25,3
09/12/13,63,30,30,11,81,16,38,40,37,21,12,11,6,29,5,18,0,44,11,2
16/12/13,59,44,35,23,84,59,37,42,19,82,4,2,22,54,17,19,1,19,39,4
23/12/13,6,3,0,0,3,0,1,0,3,1,0,0,0,10,0,3,4,0,2,2
30/12/13,26,27,1,1,49,0,37,43,29,18,18,2,13,30,21,26,0,20,23,5
06/01/14,150,49,4,4,205,48,47,81,112,22,27,10,21,80,93,3,0,28,63,15
13/01/14,80,50,41,4,73,69,61,59,54,84,19,7,18,140,18,9,2,31,32,13
20/01/14,82,19,72,13,40,12,44,14,34,40,4,10,14,43,25,3,0,21,36,20
27/01/14,58,24,41,24,76,67,24,34,40,27,17,21,10,108,46,83,66,22,43,17
03/02/14,84,43,14,14,66,47,28,9,7,23,16,4,13,35,14,2,17,13,28,6
10/02/14,59,31,1,26,76,77,18,66,38,30,14,17,27,68,20,34,3,24,38,14
17/02/14,60,29,72,21,114,73,71,56,26,50,30,22,30,77,11,16,2,18,47,89
24/02/14,116,40,36,30,104,56,23,52,55,14,9,13,26,106,45,25,23,32,38,33
03/03/14,99,53,51,41,103,61,78,52,39,6,23,0,28,77,22,1,25,21,31,2
10/03/14,112,48,77,20,121,1,25,55,59,53,32,21,32,76,25,29,8,11,50,13
17/03/14,197,49,21,50,134,112,34,85,64,32,29,8,39,107,29,44,11,28,70,22
24/03/14,116,60,34,58,185,54,54,50,97,31,52,14,26,100,22,42,12,30,47,32
31/03/14,215,51,68,54,72,144,46,35,48,66,39,11,40,36,4,34,9,9,40,51
07/04/14,82,21,157,26,109,61,41,62,87,43,66,5,46,80,14,54,12,54,54,20
14/04/14,155,31,38,56,107,57,47,15,92,32,69,7,44,60,3,25,18,27,40,98
21/04/14,80,21,25,6,22,21,1,23,9,18,18,1,26,38,21,13,16,12,10,3
28/04/14,13,10,5,0,0,3,0,7,0,4,11,5,0,15,0,8,0,5,2,0
05/05/14,70,67,40,59,76,44,88,34,93,31,118,17,13,42,48,9,19,92,89,91
12/05/14,391,35,274,62,109,20,42,87,165,77,136,37,84,125,1,56,56,37,34,13
19/05/14,178,23,48,9,133,30,22,14,176,96,109,50,23,85,3,46,8,21,19,8
26/05/14,124,35,80,74,79,14,74,41,57,100,105,4,2,63,4,63,37,22,38,50
02/06/14,235,17,85,27,158,72,20,33,36,38,86,27,16,85,6,11,19,22,13,38
09/06/14,88,4,0,8,17,29,7,37,30,70,14,18,8,102,3,27,3,20,2,31
16/06/14,187,27,177,11,63,35,60,21,43,76,132,26,8,133,5,9,6,12,2,24
23/06/14,140,20,84,8,106,4,14,9,40,48,44,27,8,84,8,33,3,13,9,24
30/06/14,111,19,25,4,7,31,15,28,12,11,46,2,8,61,1,11,20,10,6,0
07/07/14,72,27,17,5,81,8,16,7,15,40,33,15,1,76,10,13,31,6,8,34
14/07/14,75,4,25,3,14,17,11,5,27,33,7,19,6,107,6,15,9,32,4,16
21/07/14,44,7,10,2,18,2,1,7,9,12,51,14,4,69,23,4,14,49,1,6
28/07/14,40,0,12,7,22,93,3,6,2,8,27,7,0,23,2,13,0,13,4,1
04/08/14,37,5,8,0,7,57,4,4,17,1,15,11,1,35,2,12,11,1,1,0
11/08/14,10,2,2,4,3,25,3,5,9,12,7,5,1,15,0,1,0,4,3,9
18/08/14,6,4,1,1,0,34,6,3,2,1,10,0,2,10,1,1,0,0,8,3
25/08/14,7,3,1,7,1,0,1,5,4,0,1,0,0,9,1,2,0,2,4,2
01/09/14,5,0,0,0,1,1,3,0,1,2,12,0,1,2,2,0,8,2,2,1
08/09/14,10,2,0,0,3,0,3,1,1,0,2,0,2,1,0,5,0,1,5,0
15/09/14,11,4,0,1,1,0,2,3,4,3,7,6,0,27,5,0,1,0,8,0
22/09/14,16,4,1,1,2,7,3,5,3,0,6,3,0,8,1,1,0,4,7,1
29/09/14,20,4,2,0,3,3,7,3,4,1,9,1,2,26,8,6,2,1,18,0
06/10/14,17,10,0,1,3,1,18,1,1,0,26,11,0,43,5,2,4,3,27,4
13/10/14,21,1,0,1,4,0,20,17,3,0,17,0,0,26,10,3,0,0,3,0
20/10/14,34,12,3,26,9,1,22,3,1,3,16,4,3,39,33,14,0,0,40,7
27/10/14,28,7,1,2,13,2,13,11,3,1,11,3,6,32,16,7,21,0,34,10
03/11/14,44,4,7,0,16,0,18,11,11,1,11,1,5,46,28,28,4,0,30,7
10/11/14,33,5,10,0,29,3,20,7,3,1,14,10,6,87,5,15,4,31,21,1
17/11/14,85,15,26,7,14,3,28,13,9,3,14,8,25,33,28,7,25,23,24,4
24/11/14,16,15,14,2,3,0,9,23,6,0,24,2,9,25,16,0,9,3,25,0
01/12/14,95,12,41,6,39,0,16,15,14,10,56,7,13,122,4,23,4,11,110,10
08/12/14,43,39,31,10,34,3,2,30,25,19,34,20,18,70,36,5,23,22,63,9
15/12/14,35,7,15,0,0,0,7,7,4,2,30,36,4,72,5,21,14,0,17,10
22/12/14,30,23,8,0,11,4,1,9,10,17,27,17,21,12,5,17,1,1,83,2
29/12/14,259,42,49,32,38,15,11,98,61,38,112,61,53,256,45,39,27,11,103,25
